LCLAS_NM,SCLAS_CD,HELT_ITM_GRP_NM,MLSFC_NM,SCLAS_NM,HELT_ITM_GRP_CD,LCLAS_CD,MLSFC_CD
건강기능식품,599000000,프랑스해안송껍질추출물,개별인정형 건강기능식품,개별인정형 건강기능식품,A00024,700000000,799000000
건강기능식품,599000000,이소말토올리고당,개별인정형 건강기능식품,개별인정형 건강기능식품,A00025,700000000,799000000
건강기능식품,599000000,황금추출물등복합물,개별인정형 건강기능식품,개별인정형 건강기능식품,A00026,700000000,799000000
건강기능식품,599000000,사탕수수왁스알코올,개별인정형 건강기능식품,개별인정형 건강기능식품,A00027,700000000,799000000
건강기능식품,599000000,Dimethylsulfone(MSM),개별인정형 건강기능식품,개별인정형 건강기능식품,A00029,700000000,799000000
건강기능식품,599000000,포스파티딜세린,개별인정형 건강기능식품,개별인정형 건강기능식품,A00030,700000000,799000000
건강기능식품,599000000,식물스타놀에스테르,개별인정형 건강기능식품,개별인정형 건강기능식품,A00031,700000000,799000000
건강기능식품,599000000,라피노스,개별인정형 건강기능식품,개별인정형 건강기능식품,A00032,700000000,799000000
건강기능식품,599000000,당귀혼합추출물,개별인정형 건강기능식품,개별인정형 건강기능식품,A00033,700000000,799000000
건강기능식품,599000000,카제인가수분해물,개별인정형 건강기능식품,개별인정형 건강기능식품,A00035,700000000,799000000
건강기능식품,599000000,올리브잎추출물,개별인정형 건강기능식품,개별인정형 건강기능식품,A00037,700000000,799000000
건강기능식품,599000000,탈지달맞이꽃종자추출물,개별인정형 건강기능식품,개별인정형 건강기능식품,A00038,700000000,799000000
건강기능식품,599000000,공액리놀레산(유리지방산),개별인정형 건강기능식품,개별인정형 건강기능식품,A00040,700000000,799000000
건강기능식품,599000000,코엔자임Q10,개별인정형 건강기능식품,개별인정형 건강기능식품,A00041,700000000,799000000
건강기능식품,599000000,쏘팔메토열매추출물,개별인정형 건강기능식품,개별인정형 건강기능식품,A00043,700000000,799000000
건강기능식품,599000000,코엔자임Q10,개별인정형 건강기능식품,개별인정형 건강기능식품,A00044,700000000,799000000
건강기능식품,599000000,아마인,개별인정형 건강기능식품,개별인정형 건강기능식품,A00045,700000000,799000000
건강기능식품,599000000,빌베리추출물,개별인정형 건강기능식품,개별인정형 건강기능식품,A00048,700000000,799000000
건강기능식품,599000000,솔잎증류농축액,개별인정형 건강기능식품,개별인정형 건강기능식품,A00049,700000000,799000000
건강기능식품,599000000,콩발효추출물,개별인정형 건강기능식품,개별인정형 건강기능식품,A00051,700000000,799000000
